measures,8,,,,,
beats,4,,,,,
divisions,3,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
36,60,64,67,99,0,95,
0,64,67,72,0,0,0,
0,67,72,76,0,0,50,
36,60,64,67,0,0,95,
0,64,67,72,0,0,0,
0,67,72,76,90,0,25,
36,60,64,67,99,99,95,
0,64,67,72,0,99,0,
0,67,72,76,0,0,25,
36,60,64,67,0,0,95,
0,64,67,72,0,0,0,
0,67,72,76,90,0,25,
36,60,64,67,99,0,95,
0,64,67,72,0,0,0,
0,67,72,76,0,0,50,
36,60,64,67,0,0,95,
0,64,67,72,0,0,0,
0,67,72,76,90,0,25,
36,60,64,67,99,99,95,
0,64,67,72,0,99,0,
0,67,72,76,0,0,25,
36,60,64,67,0,0,95,
0,64,67,72,0,0,0,
0,67,72,76,90,0,25,
37,61,64,67,99,0,95,
0,64,67,70,0,0,0,
0,67,70,73,0,0,50,
37,61,64,67,0,0,95,
0,64,67,70,0,0,0,
0,67,70,73,90,0,25,
37,61,64,67,99,99,95,
0,64,67,70,0,99,0,
0,67,70,73,0,0,25,
37,61,64,67,0,0,95,
0,64,67,70,0,0,0,
0,67,70,73,90,0,25,
37,61,64,67,99,0,95,
0,64,67,70,0,0,0,
0,67,70,73,0,0,50,
37,61,64,67,0,0,95,
0,64,67,70,0,0,0,
0,67,70,73,90,0,25,
37,61,64,67,99,99,95,
0,64,67,70,0,99,0,
0,67,70,73,0,0,25,
37,61,64,67,0,0,95,
0,64,67,70,0,0,0,
0,67,70,73,90,0,25,
38,62,65,62,99,0,95,
0,65,69,65,0,0,0,
0,69,74,69,0,0,50,
38,62,65,62,0,0,95,
0,65,69,65,0,0,0,
0,69,74,69,90,0,25,
38,62,65,62,99,99,95,
0,65,69,65,0,99,0,
0,69,74,69,0,0,25,
38,62,65,62,0,0,95,
0,65,69,65,0,0,0,
0,69,74,69,90,0,25,
38,62,65,62,99,0,95,
0,65,69,65,0,0,0,
0,69,74,69,0,0,50,
38,62,65,62,0,0,95,
0,65,69,65,0,0,0,
0,69,74,69,90,0,25,
38,62,65,62,99,99,95,
0,65,69,65,0,99,0,
0,69,74,69,0,0,25,
38,62,65,62,0,0,95,
0,65,69,65,0,0,0,
0,69,74,69,90,0,25,
43,67,71,55,99,0,95,
0,71,77,59,0,0,0,
0,74,79,65,0,0,50,
43,67,71,67,0,0,95,
0,71,77,65,0,0,0,
0,74,79,59,90,0,25,
43,67,71,55,99,99,95,
0,71,77,59,0,99,0,
0,74,79,65,0,0,25,
43,67,71,67,0,0,95,
0,71,77,65,0,0,0,
0,74,79,59,90,0,25,
43,67,71,55,99,0,95,
0,71,77,59,0,0,0,
0,74,79,65,0,0,50,
43,67,71,67,0,0,95,
0,71,77,65,0,0,0,
0,74,79,59,90,0,25,
43,67,71,55,99,99,95,
0,71,77,59,0,99,0,
0,74,79,65,0,0,25,
43,67,71,67,0,0,95,
0,71,77,65,0,0,0,
0,74,79,59,90,0,25,